Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
ver,verb,,"<span class=""pos verb v"">{v} <span class=""usage"">to see (literally)</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to look, seem</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to see (literally); to see, look at, view (perceive); to see, tell, observe; to see, check (verify); to watch</span></span>
<span class=""pos verb v""> <span class=""tag"">[reciprocal]:</span><span class=""usage"">to see one another</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to look, seem; to see oneself, picture oneself; to find oneself, be</span></span>","<span class=""spa"">Tom no tuvo nada que ver con lo que pasó aquí.</span><br>
<span class=""eng"">Tom had nothing to do with what happened here.</span><br>
<span class=""spa"">Tom estaba seguro que nunca más la volvería a ver.</span><br>
<span class=""eng"">Tom was sure that he would never see her again.</span><br>
<span class=""spa"">Tom se sorprendió al ver a Mary en la escuela el domingo.</span><br>
<span class=""eng"">Tom was surprised to see Mary at school on Sunday.</span>",[sound:YRPYDZYEXO2JJRC55PHA6IPWCI5NRYWO.mp3]
aquí,adv,acá,,"<span class=""pos adv""> <span class=""usage"">here</span></span>","<span class=""spa"">Aquí no conozco a nadie.</span><br>
<span class=""eng"">I don't know anybody here.</span><br>
<span class=""spa"">Puede que ellos no noten que Tom no está aquí.</span><br>
<span class=""eng"">They might not notice that Tom isn't here.</span><br>
<span class=""spa"">¿Vas a cortar todos los árboles de aquí?</span><br>
<span class=""eng"">Are you going to cut down all the trees here?</span>",[sound:32IE5JKUU633PZKB4F3ZHNS235K7NRL7.mp3]
bueno,adj,,"<span class=""pos adj""> <span class=""usage"">good; fine</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">good; fine</span></span>
<span class=""pos interj"">{interj} <span class=""usage"">okay; fine</span></span>
<span class=""pos interj""> <span class=""tag"">[used at the start of a phrase]:</span><span class=""usage"">well; a short pause in a sentence</span></span>
<span class=""pos interj mexico only-latin-america only-mexico""> <span class=""tag"">[interrogatively, Mexico]:</span><span class=""usage"">Expression used when answering the phone, often with the pronunciation /bweˈno/, rather than /ˈbweno/</span></span>","<span class=""spa"">Ella es muy buena moza.</span><br>
<span class=""eng"">She is very pretty.</span><br>
<span class=""spa"">Bueno, te veré mas tarde.</span><br>
<span class=""eng"">Well, I'll see you later.</span><br>
<span class=""spa"">Es muy bueno tocando el violín.</span><br>
<span class=""eng"">He is very good at playing violin.</span>",[sound:N6L4WKIS43TXD32SSD4SM4MV46G2JUI3.mp3]
más,adv,,"<span class=""pos adv""> <span class=""usage"">more; -er (used to make comparisons)</span></span>","<span class=""pos adv"">{adv} <span class=""usage"">more; -er (used to make comparisons); furthermore; in addition; else; used with qué to express emphasis</span></span>
<span class=""pos adv""> <span class=""tag"">[with definite article]:</span><span class=""usage"">most; -est (used to make superlatives)</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">more, any more; most</span></span>
<span class=""pos conj"">{conj} <span class=""tag"">[mathematics]:</span><span class=""usage"">plus</span></span>","<span class=""spa"">¿De qué te sientes más orgulloso?</span><br>
<span class=""eng"">What do you feel most proud of?</span><br>
<span class=""spa"">El desayuno es la comida más importante del día.</span><br>
<span class=""eng"">Breakfast is the most important meal of the day.</span><br>
<span class=""spa"">Tom estaba seguro que nunca más la volvería a ver.</span><br>
<span class=""eng"">Tom was sure that he would never see her again.</span>",[sound:35JVAWZFX2PDRO62BTUIT4BMSXO4PTAB.mp3]
dar,verb,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to give, give out</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to occur</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to give, give out; to hand over; to hit; to emit; to produce; to perform; to consider; to hit upon</span></span>
<span class=""pos verb vt""> <span class=""tag"">[colloquial]:</span><span class=""usage"">to ruin; to mess up</span></span>
<span class=""pos verb v"">{v} <span class=""tag"">[con]:</span><span class=""usage"">to encounter; to find with effort</span></span>
<span class=""pos verb v""> <span class=""tag"">[a, .colloquial]:</span><span class=""usage"">to press, activate</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to occur; to grow naturally; to hit</span></span>
<span class=""pos verb vr reflexive""> <span class=""tag"">[_, + por]:</span><span class=""usage"">to assume</span></span>
<span class=""pos verb vr reflexive""> <span class=""tag"">[colloquial]:</span><span class=""usage"">to pretend to be, present oneself as though one were</span></span>
<span class=""pos verb vr reflexive mexico only-latin-america only-mexico""> <span class=""tag"">[Mexico]:</span><span class=""usage"">to surrender</span></span>
<span class=""pos verb vrt reflexive el-salvador only-central-america only-el-salvador only-latin-america"">{vrt} <span class=""tag"">[El Salvador, vulgar]:</span><span class=""usage"">to fuck [used with third person direct objects only]</span></span>","<span class=""spa"">Tom no se da cuenta de lo afortunado que es.</span><br>
<span class=""eng"">Tom doesn't realize how lucky he is.</span><br>
<span class=""spa"">Ella siempre dio de comer a sus niños antes que a su perro.</span><br>
<span class=""eng"">She always fed her children before she fed her dog.</span><br>
<span class=""spa"">Me da igual el frío, pero no soporto el calor.</span><br>
<span class=""eng"">I don't mind the cold, but I can't stand the heat.</span>",[sound:5PRWCDDD4R3VXIJRFOGIMTVH4JRGPZF7.mp3]
deber,verb,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to owe</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""tag"">[_, with preposition a]:</span><span class=""usage"">to be due to</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to owe</span></span>
<span class=""pos verb v"">{v} <span class=""tag"">[auxiliary]:</span><span class=""usage"">to must, need to, have to (rarely used in the conditional with this meaning); to should, ought to, be supposed to, be to; to should have (in the preterite; having haber follow ""deber"" is optional and not required)</span></span>
<span class=""pos verb v""> <span class=""tag"">[auxiliary, emphatic]:</span><span class=""usage"">to shall [future tense usually]</span></span>
<span class=""pos verb v""> <span class=""tag"">[with de and infinitive]:</span><span class=""usage"">to probably or most likely do or happen something (add a degree of insecurity to the verb)</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""tag"">[_, with preposition a]:</span><span class=""usage"">to be due to, be attributable to, be the result of, be caused by</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">obligation, duty; debt; should, ought (modal noun)</span></span>
<span class=""pos noun m""> <span class=""tag"">[usually, in the plural]:</span><span class=""usage"">homework</span></span>","<span class=""spa"">Deberíais pedirles permiso a vuestros padres.</span><br>
<span class=""eng"">You should ask your parents for permission.</span><br>
<span class=""spa"">Una ama de casa tiene muchos deberes domésticos.</span><br>
<span class=""eng"">A housewife has many domestic duties.</span><br>
<span class=""spa"">Debemos volvernos a la edad media para rastrear su origen.</span><br>
<span class=""eng"">To determine its origin, we must go back to the middle ages.</span>",[sound:CCKJHSRDS43TE6PO3JPH6F23UQTZ62I4.mp3]
ya,adv,"ahora, ahorita","<span class=""pos adv""> <span class=""usage"">now; already, yet</span></span>","<span class=""pos adv"">{adv} <span class=""usage"">now; already, yet; in the near future; soon; immediately; anymore; no longer</span></span>
<span class=""pos adv""> <span class=""tag"">[emphatic]:</span><span class=""usage"">emphatic (similar to the use of English ""so"" or ""oh"" as an interjection)</span></span>
<span class=""pos adv""> <span class=""tag"">[in negatives]:</span><span class=""usage"">only</span></span>
<span class=""pos adv""> <span class=""tag"">[before pero]:</span><span class=""usage"">yes</span></span>
<span class=""pos adv""> <span class=""tag"">[before que]:</span><span class=""usage"">since, now</span></span>
<span class=""pos conj"">{conj} <span class=""usage"">first (something) then (something else); first (something), now (something else); whether (something) or (something else)</span></span>
<span class=""pos interj"">{interj} <span class=""usage"">come on!, let's go!</span></span>","<span class=""spa"">Él ya es un hombre.</span><br>
<span class=""eng"">He's already a man.</span><br>
<span class=""spa"">En sus marcas, listos, ¡ya!</span><br>
<span class=""eng"">On your mark, ready, set, go!</span><br>
<span class=""spa"">Ya ni siquiera sé que me está pasando.</span><br>
<span class=""eng"">I don't even know what's happening to me anymore.</span>",[sound:GPU2X4TEFNMFKYT5Z2CLPV2XPZQD4GN2.mp3]
ahora,adv,"ahorita, ya",,"<span class=""pos adv"">{adv} <span class=""usage"">now (at the present time)</span></span>
<span class=""pos conj"">{conj} <span class=""usage"">now</span></span>","<span class=""spa"">En algún lugar son las cinco en punto ahora.</span><br>
<span class=""eng"">It's five o'clock somewhere now.</span><br>
<span class=""spa"">¿Qué diferencia hace eso ahora?</span><br>
<span class=""eng"">What difference does that make now?</span><br>
<span class=""spa"">Ahora que lo pienso, creo que me tomaré un trozo de esa tarta.</span><br>
<span class=""eng"">On second thought, I think I will have a slice of that pie.</span>",[sound:RDUCTFYRE4HPGIPT2EC4OHUNOI3VNMVK.mp3]
muy,adv,re,,"<span class=""pos adv""> <span class=""usage"">very</span></span>","<span class=""spa"">Agachen la cabeza que el techo es muy bajo.</span><br>
<span class=""eng"">Bend down. The ceiling is very low.</span><br>
<span class=""spa"">Tom tiene una casa no muy lejos de aquí.</span><br>
<span class=""eng"">Tom has a house not too far from here.</span><br>
<span class=""spa"">La ballena es un mamífero muy grande que vive en el mar.</span><br>
<span class=""eng"">The whale is a very large mammal which lives in the sea.</span>",[sound:AUY64GD65J54ZLKYWSGOPRW2CW76OWNY.mp3]
creer,verb,"pensar, opinar",,"<span class=""pos verb vt"">{vt} <span class=""usage"">to believe; to think, believe, reckon, be of the opinion</span></span>","<span class=""spa"">Creemos que Tom mató a Mary con un picahielos.</span><br>
<span class=""eng"">We believe that Tom killed Mary with an ice pick.</span><br>
<span class=""spa"">Tres de cada cuatro americanos creen en la existencia de fenómenos paranormales.</span><br>
<span class=""eng"">Three out of four Americans believe in the existence of paranormal phenomena.</span><br>
<span class=""spa"">Tom empezó a creer que él nunca sería capaz de caminar otra vez.</span><br>
<span class=""eng"">Tom began to believe that he'd never be able to walk again.</span>",[sound:ALT6DF2EQJ44GBIEJVWFK56AC6QFHFC4.mp3]
así,adv,,"<span class=""pos adv""> <span class=""usage"">like this; like that</span></span>","<span class=""pos adv""> <span class=""usage"">like this; like that; as such; thus; so; thereby; this way, that way</span></span>
<span class=""pos adv""> <span class=""tag"">[followed by a subjunctive clause]:</span><span class=""usage"">Used to express wishes of misfortune against someone, or to cast a spell</span></span>","<span class=""spa"">No te suenes la nariz así.</span><br>
<span class=""eng"">Don't blow your nose like that.</span><br>
<span class=""spa"">Salí temprano, así pudiera conseguir un buen asiento.</span><br>
<span class=""eng"">I left early so I could get a good seat.</span><br>
<span class=""spa"">Si es así, no debería ser ningún problema, ¿me equivoco?</span><br>
<span class=""eng"">If so, it shouldn't be any problem at all, should it?</span>",[sound:MIMJ6VZCVKYYFIISAXVZ7B3KVX2OOTBB.mp3]
dejar,verb,"permitir, soltar, abandonar, parar","<span class=""pos verb vt"">{vt} <span class=""usage"">to leave</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to let</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to leave (to place); to leave, keep (to allow to continue); to leave (to cause, result in); to let, allow; to let go, put down (to release from one's grasp); to drop off; to leave, abandon, dump; to give up, lay off, kick [colloquial]; to set, put, make (in certain phrases)</span></span>
<span class=""pos verb vt only-spain spain""> <span class=""tag"">[Spain, colloquial]:</span><span class=""usage"">to cut out (stop)</span></span>
<span class=""pos verb vi"">{vi} <span class=""usage"">to leave off</span></span>
<span class=""pos verb v"">{v} <span class=""tag"">[de]:</span><span class=""usage"">to cease, stop (doing something)</span></span>
<span class=""pos verb v""> <span class=""tag"">[a, .reflexive]:</span><span class=""usage"">to be left, be left to</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to let (oneself), let oneself go (cease to care about one's appearance)</span></span>","<span class=""spa"">Deja de cantar esa canción, por favor.</span><br>
<span class=""eng"">Please stop singing that song.</span><br>
<span class=""spa"">Dejé mis guantes nuevos en la librería.</span><br>
<span class=""eng"">I left my new pair of gloves in the library.</span><br>
<span class=""spa"">Ella dejó bien claro que se quería casar con él.</span><br>
<span class=""eng"">She made it plain that she wanted to marry him.</span>",[sound:UNW2E2DUBMV6QFPUKNHX7NSDELSOPS23.mp3]
vez,f,tanda,,"<span class=""pos noun f""> <span class=""usage"">time, instance; place (in a queue)</span></span>","<span class=""spa"">¿Has donado sangre alguna vez?</span><br>
<span class=""eng"">Have you ever donated blood?</span><br>
<span class=""spa"">¿Alguna vez has comido insectos?</span><br>
<span class=""eng"">Have you ever eaten insects?</span><br>
<span class=""spa"">¿Alguna vez has matado a alguien?</span><br>
<span class=""eng"">Have you ever killed someone?</span>",[sound:6D6DZXC6I6RCHP3MHGDCIBWS2MZNZZTY.mp3]
hablar,verb,,"<span class=""pos verb vi"">{vi} <span class=""usage"">to talk; to speak</span></span>","<span class=""pos verb vi"">{vi} <span class=""usage"">to talk; to speak; to communicate using words</span></span>
<span class=""pos verb vt"">{vt} <span class=""usage"">to speak (a language)</span></span>","<span class=""spa"">¿No podemos hablar de eso por la mañana?</span><br>
<span class=""eng"">Can't we talk about it in the morning?</span><br>
<span class=""spa"">Abrió la boca como si fuera a hablar, pero no dijo nada.</span><br>
<span class=""eng"">He opened his mouth as if to speak, but didn't say anything.</span><br>
<span class=""spa"">«Este lugar solía ser tan agradable.» «Hábleme de ello.»</span><br>
<span class=""eng"">""This used to be such a friendly place."" ""Tell me about it.""</span>",[sound:SWJBUMA475AEYXFTXKA6MK2GNDXI3ETA.mp3]
pasar,verb,"ocurrir, suceder, acontecer, aprobar, llevar","<span class=""pos verb v"">{v} <span class=""usage"">to pass, hand, slip</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to go too far, exaggerate</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to pass, hand, slip; to puree (crush or grind food into a puree); to omit, leave out; to go through, pass through, swing by (+ por); to pass an exam</span></span>
<span class=""pos verb vi"">{vi} <span class=""usage"">to happen; to enter a room</span></span>
<span class=""pos verb vt"">{vt} <span class=""usage"">to pass, get past, go past, go by, go over, get through; to spend time; to pass (filter); to strain, sieve, sift; to break the law, rule, order; to trespass (enter on someone's property without permission); to send, transmit; to stand, tolerate, bear</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to go too far, exaggerate; to exceed, surpass, go over; to ripen too much, become rotten, become off (food)</span></span>
<span class=""pos verb vp reflexive"">{vp} <span class=""usage"">to stop by, swing by; to spend (time)</span></span>","<span class=""spa"">Tom no tuvo nada que ver con lo que pasó aquí.</span><br>
<span class=""eng"">Tom had nothing to do with what happened here.</span><br>
<span class=""spa"">No tengo ni idea de lo que está pasando ahí.</span><br>
<span class=""eng"">I have no idea of what's going on in there.</span><br>
<span class=""spa"">Pasó por su cabeza que ella iba a morir.</span><br>
<span class=""eng"">The thought flashed through her mind that she was going to die.</span>",[sound:2NSBXY5D7RTN27L2RPUDKTEROU4FTC67.mp3]
este,m,"oriente, levante","<span class=""pos noun m"">{m} <span class=""usage"">east</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">this</span></span>","<span class=""pos noun m"">{m} <span class=""usage"">east</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">this</span></span>
<span class=""pos interj"">{interj} <span class=""usage"">uh, well (space filler in a conversation)</span></span>","<span class=""spa"">Mi habitación da al este.</span><br>
<span class=""eng"">My room faces east.</span><br>
<span class=""spa"">El avión voló al este.</span><br>
<span class=""eng"">The plane flew east.</span><br>
<span class=""spa"">Mi tío vive en el este de España.</span><br>
<span class=""eng"">My uncle lives in the east of Spain.</span>",[sound:AL2PTIHVFC4FFNLVF3WKS6EKKWXGFM7I.mp3]
venir,verb,,"<span class=""pos verb v"">{v} <span class=""usage"">to come</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to [slang] To achieve orgasm</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to come</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to [slang] To achieve orgasm; to cum; to ejaculate</span></span>","<span class=""spa"">¿De dónde vienen los bebés?</span><br>
<span class=""eng"">Where do babies come from?</span><br>
<span class=""spa"">No esperaba que Mary viniera tan pronto.</span><br>
<span class=""eng"">I didn't expect that Mary would come so soon.</span><br>
<span class=""spa"">Me preguntó si estaría libre el domingo que viene.</span><br>
<span class=""eng"">She asked me if I would be free next Sunday.</span>",[sound:AST4G7WUBM64VN6HS64Y5H7DFGV3SRUH.mp3]
